name,slug,category,brand,price,in_stock,image_external_url,description,gender,scent_profile,size_ml
Eternal Vanilla,eternal-vanilla,Bath,The Maison,1483,1,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Vanilla. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,U,oriental,200
Pure Vanilla,pure-vanilla,Watches,Tom Ford,1287,1,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Vanilla. A premium fragrance by Tom Ford featuring top notes of citrus and base notes of luxury.,W,woody,150
Golden Sandalwood,golden-sandalwood,Fragrance,Byredo,1083,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Sandalwood. A premium fragrance by Byredo featuring top notes of floral and base notes of luxury.,M,citrus,50
Classic Jasmin,classic-jasmin,Fragrance,Tom Ford,1101,1,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Jasmin. A premium fragrance by Tom Ford featuring top notes of aquatic and base notes of luxury.,W,oriental,200
Imperial Jasmin,imperial-jasmin,Fragrance,Amouage,1198,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Jasmin. A premium fragrance by Amouage featuring top notes of fresh and base notes of luxury.,W,aquatic,100
Velvet Leather,velvet-leather,Watches,Xerjoff,1495,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Leather. A premium fragrance by Xerjoff featuring top notes of floral and base notes of luxury.,W,floral,100
Royal  Musk,royal--musk,Accessories,Byredo,1181,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal  Musk. A premium fragrance by Byredo featuring top notes of aquatic and base notes of luxury.,M,citrus,150
Mystic  Musk,mystic--musk,Watches,Roja,258,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic  Musk. A premium fragrance by Roja featuring top notes of fresh and base notes of luxury.,M,citrus,100
Classic Vanilla,classic-vanilla,Fragrance,Roja,226,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Vanilla. A premium fragrance by Roja featuring top notes of woody and base notes of luxury.,U,woody,200
Mystic Leather,mystic-leather,Fragrance,Xerjoff,844,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Leather. A premium fragrance by Xerjoff featuring top notes of floral and base notes of luxury.,W,musky,50
Midnight Rose,midnight-rose,Bath,Xerjoff,174,1,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Rose. A premium fragrance by Xerjoff featuring top notes of woody and base notes of luxury.,M,fresh,150
Eternal  Musk,eternal--musk,Fragrance,Byredo,1219,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal  Musk. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,W,floral,150
Mystic Oud,mystic-oud,Bath,Xerjoff,469,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Oud. A premium fragrance by Xerjoff featuring top notes of aquatic and base notes of luxury.,M,floral,100
Mystic Jasmin,mystic-jasmin,Bath,Amouage,1405,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Jasmin. A premium fragrance by Amouage featuring top notes of aquatic and base notes of luxury.,U,floral,150
Imperial Leather,imperial-leather,Fragrance,Byredo,1276,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Leather. A premium fragrance by Byredo featuring top notes of musky and base notes of luxury.,W,citrus,150
Pure Jasmin,pure-jasmin,Fragrance,Byredo,1041,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Jasmin. A premium fragrance by Byredo featuring top notes of floral and base notes of luxury.,U,musky,200
Classic Rose,classic-rose,Fragrance,Killian,388,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Rose. A premium fragrance by Killian featuring top notes of woody and base notes of luxury.,U,aquatic,100
Royal Vanilla,royal-vanilla,Accessories,Tom Ford,1172,1,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Vanilla. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,M,aquatic,200
Imperial Vanilla,imperial-vanilla,Watches,Tom Ford,1304,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Vanilla. A premium fragrance by Tom Ford featuring top notes of citrus and base notes of luxury.,U,woody,50
Royal Rose,royal-rose,Accessories,Xerjoff,1151,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Rose. A premium fragrance by Xerjoff featuring top notes of citrus and base notes of luxury.,M,woody,200
Imperial Amber,imperial-amber,Bath,The Maison,840,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Amber. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,M,citrus,50
Noble  Musk,noble--musk,Watches,Xerjoff,832,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble  Musk. A premium fragrance by Xerjoff featuring top notes of woody and base notes of luxury.,W,oriental,50
Golden Cedar,golden-cedar,Accessories,Roja,214,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Cedar. A premium fragrance by Roja featuring top notes of citrus and base notes of luxury.,M,woody,50
Velvet Oud,velvet-oud,Watches,Tom Ford,683,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Oud. A premium fragrance by Tom Ford featuring top notes of oriental and base notes of luxury.,M,fresh,200
Classic Oud,classic-oud,Bath,Amouage,153,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Oud. A premium fragrance by Amouage featuring top notes of floral and base notes of luxury.,W,oriental,150
Eternal Amber,eternal-amber,Accessories,Tom Ford,1340,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Amber. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,U,oriental,150
Royal Jasmin,royal-jasmin,Accessories,Byredo,621,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Jasmin. A premium fragrance by Byredo featuring top notes of musky and base notes of luxury.,W,musky,150
Golden Jasmin,golden-jasmin,Bath,Byredo,1090,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Jasmin. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,W,citrus,150
Classic Leather,classic-leather,Fragrance,Xerjoff,408,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Leather. A premium fragrance by Xerjoff featuring top notes of fresh and base notes of luxury.,U,musky,150
Noble Amber,noble-amber,Fragrance,The Maison,952,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Amber. A premium fragrance by The Maison featuring top notes of woody and base notes of luxury.,M,woody,150
Classic Cedar,classic-cedar,Accessories,Tom Ford,969,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Cedar. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,W,fresh,200
Royal Amber,royal-amber,Accessories,Creed,442,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Amber. A premium fragrance by Creed featuring top notes of musky and base notes of luxury.,W,fresh,50
Pure  Musk,pure--musk,Bath,Creed,231,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure  Musk. A premium fragrance by Creed featuring top notes of musky and base notes of luxury.,M,floral,100
Mystic Sandalwood,mystic-sandalwood,Bath,The Maison,499,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Sandalwood. A premium fragrance by The Maison featuring top notes of oriental and base notes of luxury.,M,floral,100
Imperial Sandalwood,imperial-sandalwood,Watches,Creed,330,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Sandalwood. A premium fragrance by Creed featuring top notes of citrus and base notes of luxury.,M,fresh,50
Midnight Sandalwood,midnight-sandalwood,Fragrance,Xerjoff,1083,1,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Sandalwood. A premium fragrance by Xerjoff featuring top notes of citrus and base notes of luxury.,M,woody,200
Pure Amber,pure-amber,Bath,Xerjoff,1014,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Amber. A premium fragrance by Xerjoff featuring top notes of floral and base notes of luxury.,U,citrus,100
Mystic Rose,mystic-rose,Fragrance,Killian,1299,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Rose. A premium fragrance by Killian featuring top notes of oriental and base notes of luxury.,U,musky,100
Velvet Vanilla,velvet-vanilla,Bath,Creed,1366,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Vanilla. A premium fragrance by Creed featuring top notes of fresh and base notes of luxury.,W,citrus,150
Eternal Jasmin,eternal-jasmin,Accessories,Roja,1342,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Jasmin. A premium fragrance by Roja featuring top notes of floral and base notes of luxury.,M,aquatic,50
Eternal Sandalwood,eternal-sandalwood,Watches,Killian,1338,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Sandalwood. A premium fragrance by Killian featuring top notes of fresh and base notes of luxury.,W,musky,150
Eternal Spirit,eternal-spirit,Watches,Killian,478,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Spirit. A premium fragrance by Killian featuring top notes of floral and base notes of luxury.,M,woody,50
Mystic Amber,mystic-amber,Fragrance,Byredo,758,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Mystic Amber. A premium fragrance by Byredo featuring top notes of fresh and base notes of luxury.,M,citrus,150
Pure Sandalwood,pure-sandalwood,Watches,Byredo,885,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Sandalwood. A premium fragrance by Byredo featuring top notes of musky and base notes of luxury.,U,citrus,50
Eternal Oud,eternal-oud,Fragrance,Killian,331,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Eternal Oud. A premium fragrance by Killian featuring top notes of floral and base notes of luxury.,W,floral,100
Noble Leather,noble-leather,Fragrance,The Maison,1032,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Leather. A premium fragrance by The Maison featuring top notes of musky and base notes of luxury.,M,aquatic,100
Pure Cedar,pure-cedar,Accessories,Tom Ford,1034,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Cedar. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,M,citrus,150
Imperial Spirit,imperial-spirit,Bath,Creed,1291,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Spirit. A premium fragrance by Creed featuring top notes of woody and base notes of luxury.,U,oriental,200
Royal Oud,royal-oud,Accessories,Amouage,1158,1,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Oud. A premium fragrance by Amouage featuring top notes of musky and base notes of luxury.,U,citrus,100
Noble Vanilla,noble-vanilla,Accessories,Amouage,859,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Vanilla. A premium fragrance by Amouage featuring top notes of citrus and base notes of luxury.,W,oriental,100
Velvet Jasmin,velvet-jasmin,Bath,Creed,322,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Jasmin. A premium fragrance by Creed featuring top notes of woody and base notes of luxury.,U,citrus,200
Noble Oud,noble-oud,Bath,Byredo,369,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Oud. A premium fragrance by Byredo featuring top notes of citrus and base notes of luxury.,W,fresh,50
Velvet  Musk,velvet--musk,Fragrance,Roja,298,1,https://images.unsplash.com/photo-1596462502278-27bfdc4033c8?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet  Musk. A premium fragrance by Roja featuring top notes of aquatic and base notes of luxury.,M,woody,200
Pure Rose,pure-rose,Bath,Byredo,233,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Rose. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,U,floral,200
Midnight Vanilla,midnight-vanilla,Watches,Amouage,1421,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Vanilla. A premium fragrance by Amouage featuring top notes of fresh and base notes of luxury.,U,musky,200
Golden Vanilla,golden-vanilla,Accessories,The Maison,1079,1,https://images.unsplash.com/photo-1547887539-77569f69707b?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Vanilla. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,M,citrus,200
Midnight Cedar,midnight-cedar,Accessories,The Maison,609,1,https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Cedar. A premium fragrance by The Maison featuring top notes of floral and base notes of luxury.,U,floral,150
Imperial Cedar,imperial-cedar,Bath,Killian,770,1,https://images.unsplash.com/photo-1620121692029-d088224ddc74?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Cedar. A premium fragrance by Killian featuring top notes of floral and base notes of luxury.,W,musky,100
Imperial Oud,imperial-oud,Fragrance,Tom Ford,226,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Imperial Oud. A premium fragrance by Tom Ford featuring top notes of floral and base notes of luxury.,W,woody,150
Midnight  Musk,midnight--musk,Bath,The Maison,647,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight  Musk. A premium fragrance by The Maison featuring top notes of floral and base notes of luxury.,U,aquatic,50
Classic Sandalwood,classic-sandalwood,Bath,Byredo,719,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Classic Sandalwood. A premium fragrance by Byredo featuring top notes of aquatic and base notes of luxury.,M,oriental,150
Royal Leather,royal-leather,Fragrance,The Maison,1348,1,https://images.unsplash.com/photo-1616948055600-43add1b7eeaa?auto=format&fit=crop&w=800&q=80,Experience the essence of Royal Leather. A premium fragrance by The Maison featuring top notes of floral and base notes of luxury.,U,oriental,200
Noble Rose,noble-rose,Bath,Tom Ford,496,1,https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&w=800&q=80,Experience the essence of Noble Rose. A premium fragrance by Tom Ford featuring top notes of musky and base notes of luxury.,U,citrus,150
Pure Spirit,pure-spirit,Accessories,Byredo,518,1,https://images.unsplash.com/photo-1512789675414-eb146ffe08d6?auto=format&fit=crop&w=800&q=80,Experience the essence of Pure Spirit. A premium fragrance by Byredo featuring top notes of musky and base notes of luxury.,M,floral,150
Golden Oud,golden-oud,Watches,The Maison,270,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Golden Oud. A premium fragrance by The Maison featuring top notes of woody and base notes of luxury.,M,oriental,100
Velvet Rose,velvet-rose,Bath,The Maison,224,1,https://images.unsplash.com/photo-1583467875263-d50dec37a88c?auto=format&fit=crop&w=800&q=80,Experience the essence of Velvet Rose. A premium fragrance by The Maison featuring top notes of fresh and base notes of luxury.,U,oriental,150
Midnight Jasmin,midnight-jasmin,Watches,Killian,646,1,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&w=800&q=80,Experience the essence of Midnight Jasmin. A premium fragrance by Killian featuring top notes of floral and base notes of luxury.,W,woody,100
