name,slug,category,brand,price,in_stock,image_external_url,description,gender,scent_profile,size_ml
Velvet Amber,velvet-amber,Fragrance,Creed,338,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Velvet Amber. A premium fragrance by Creed featuring top notes of fresh and base notes of luxury.,W,aquatic,150
Royal Vanilla,royal-vanilla,Bath,Roja,1113,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Royal Vanilla. A premium fragrance by Roja featuring top notes of aquatic and base notes of luxury.,W,aquatic,100
Velvet  Musk,velvet--musk,Accessories,Tom Ford,567,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Velvet  Musk. A premium fragrance by Tom Ford featuring top notes of aquatic and base notes of luxury.,U,citrus,200
Golden Spirit,golden-spirit,Bath,Tom Ford,199,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Golden Spirit. A premium fragrance by Tom Ford featuring top notes of aquatic and base notes of luxury.,U,woody,50
Noble  Musk,noble--musk,Accessories,Tom Ford,729,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Noble  Musk. A premium fragrance by Tom Ford featuring top notes of aquatic and base notes of luxury.,U,citrus,100
Royal Leather,royal-leather,Accessories,Xerjoff,1292,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Royal Leather. A premium fragrance by Xerjoff featuring top notes of aquatic and base notes of luxury.,U,aquatic,100
Classic Sandalwood,classic-sandalwood,Fragrance,Roja,746,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Classic Sandalwood. A premium fragrance by Roja featuring top notes of fresh and base notes of luxury.,W,floral,200
Royal Oud,royal-oud,Fragrance,Killian,822,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Royal Oud. A premium fragrance by Killian featuring top notes of woody and base notes of luxury.,W,oriental,200
Midnight Oud,midnight-oud,Bath,Amouage,732,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Midnight Oud. A premium fragrance by Amouage featuring top notes of oriental and base notes of luxury.,M,fresh,150
Imperial Vanilla,imperial-vanilla,Fragrance,Roja,427,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Imperial Vanilla. A premium fragrance by Roja featuring top notes of floral and base notes of luxury.,M,oriental,200
Velvet Vanilla,velvet-vanilla,Bath,Killian,936,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Velvet Vanilla. A premium fragrance by Killian featuring top notes of fresh and base notes of luxury.,M,aquatic,50
Royal Rose,royal-rose,Watches,Xerjoff,253,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Royal Rose. A premium fragrance by Xerjoff featuring top notes of oriental and base notes of luxury.,W,citrus,200
Golden Amber,golden-amber,Watches,Roja,1050,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Golden Amber. A premium fragrance by Roja featuring top notes of woody and base notes of luxury.,M,citrus,50
Velvet Spirit,velvet-spirit,Watches,Tom Ford,642,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Velvet Spirit. A premium fragrance by Tom Ford featuring top notes of floral and base notes of luxury.,W,musky,50
Golden Sandalwood,golden-sandalwood,Bath,Killian,159,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Golden Sandalwood. A premium fragrance by Killian featuring top notes of aquatic and base notes of luxury.,W,fresh,50
Royal Sandalwood,royal-sandalwood,Accessories,Amouage,628,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Royal Sandalwood. A premium fragrance by Amouage featuring top notes of musky and base notes of luxury.,M,citrus,150
Noble Sandalwood,noble-sandalwood,Watches,The Maison,281,1,https://images.pexels.com/photos/3059609/pexels-photo-3059609.jpeg,Experience the essence of Noble Sandalwood. A premium fragrance by The Maison featuring top notes of floral and base notes of luxury.,U,aquatic,150
Pure Rose,pure-rose,Accessories,Creed,785,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Pure Rose. A premium fragrance by Creed featuring top notes of fresh and base notes of luxury.,U,woody,50
Mystic Jasmin,mystic-jasmin,Accessories,Tom Ford,465,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Mystic Jasmin. A premium fragrance by Tom Ford featuring top notes of citrus and base notes of luxury.,U,citrus,100
Classic Amber,classic-amber,Accessories,Xerjoff,1060,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Classic Amber. A premium fragrance by Xerjoff featuring top notes of fresh and base notes of luxury.,M,aquatic,50
Midnight Amber,midnight-amber,Watches,Xerjoff,763,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Midnight Amber. A premium fragrance by Xerjoff featuring top notes of musky and base notes of luxury.,M,musky,200
Pure Vanilla,pure-vanilla,Accessories,Xerjoff,768,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Pure Vanilla. A premium fragrance by Xerjoff featuring top notes of fresh and base notes of luxury.,W,woody,100
Classic Oud,classic-oud,Accessories,Byredo,789,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Classic Oud. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,W,citrus,50
Eternal Cedar,eternal-cedar,Watches,Byredo,534,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Eternal Cedar. A premium fragrance by Byredo featuring top notes of floral and base notes of luxury.,U,woody,100
Eternal Sandalwood,eternal-sandalwood,Accessories,Tom Ford,1035,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Eternal Sandalwood. A premium fragrance by Tom Ford featuring top notes of oriental and base notes of luxury.,M,aquatic,200
Midnight Jasmin,midnight-jasmin,Bath,Roja,990,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Midnight Jasmin. A premium fragrance by Roja featuring top notes of floral and base notes of luxury.,U,aquatic,200
Mystic Amber,mystic-amber,Watches,Creed,1188,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Mystic Amber. A premium fragrance by Creed featuring top notes of citrus and base notes of luxury.,U,fresh,150
Eternal Vanilla,eternal-vanilla,Watches,Roja,1126,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Eternal Vanilla. A premium fragrance by Roja featuring top notes of citrus and base notes of luxury.,M,musky,100
Imperial  Musk,imperial--musk,Fragrance,Tom Ford,944,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Imperial  Musk. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,M,musky,200
Midnight  Musk,midnight--musk,Accessories,Amouage,1002,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Midnight  Musk. A premium fragrance by Amouage featuring top notes of fresh and base notes of luxury.,W,aquatic,200
Eternal Spirit,eternal-spirit,Bath,Tom Ford,1159,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Eternal Spirit. A premium fragrance by Tom Ford featuring top notes of floral and base notes of luxury.,U,woody,200
Midnight Sandalwood,midnight-sandalwood,Watches,Amouage,533,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Midnight Sandalwood. A premium fragrance by Amouage featuring top notes of citrus and base notes of luxury.,U,musky,50
Mystic Rose,mystic-rose,Fragrance,The Maison,497,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Mystic Rose. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,U,aquatic,50
Royal Amber,royal-amber,Bath,Byredo,208,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Royal Amber. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,W,citrus,200
Velvet Jasmin,velvet-jasmin,Bath,Tom Ford,1097,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Velvet Jasmin. A premium fragrance by Tom Ford featuring top notes of oriental and base notes of luxury.,U,oriental,150
Mystic Sandalwood,mystic-sandalwood,Accessories,Amouage,287,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Mystic Sandalwood. A premium fragrance by Amouage featuring top notes of floral and base notes of luxury.,M,citrus,200
Imperial Amber,imperial-amber,Bath,The Maison,1358,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Imperial Amber. A premium fragrance by The Maison featuring top notes of fresh and base notes of luxury.,W,fresh,100
Imperial Sandalwood,imperial-sandalwood,Watches,Creed,1182,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Imperial Sandalwood. A premium fragrance by Creed featuring top notes of woody and base notes of luxury.,W,aquatic,100
Eternal Leather,eternal-leather,Accessories,Xerjoff,1193,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Eternal Leather. A premium fragrance by Xerjoff featuring top notes of aquatic and base notes of luxury.,W,floral,150
Noble Amber,noble-amber,Accessories,Xerjoff,1401,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Noble Amber. A premium fragrance by Xerjoff featuring top notes of floral and base notes of luxury.,W,aquatic,200
Velvet Leather,velvet-leather,Fragrance,Xerjoff,605,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Velvet Leather. A premium fragrance by Xerjoff featuring top notes of musky and base notes of luxury.,U,aquatic,200
Pure Jasmin,pure-jasmin,Fragrance,Killian,899,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Pure Jasmin. A premium fragrance by Killian featuring top notes of citrus and base notes of luxury.,W,floral,100
Eternal Jasmin,eternal-jasmin,Fragrance,Killian,1096,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Eternal Jasmin. A premium fragrance by Killian featuring top notes of citrus and base notes of luxury.,U,fresh,100
Royal Spirit,royal-spirit,Watches,Tom Ford,271,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Royal Spirit. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,M,woody,200
Velvet Sandalwood,velvet-sandalwood,Watches,Creed,1246,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Velvet Sandalwood. A premium fragrance by Creed featuring top notes of citrus and base notes of luxury.,M,fresh,100
Classic Spirit,classic-spirit,Bath,Amouage,1006,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Classic Spirit. A premium fragrance by Amouage featuring top notes of floral and base notes of luxury.,U,aquatic,50
Eternal  Musk,eternal--musk,Watches,Tom Ford,254,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Eternal  Musk. A premium fragrance by Tom Ford featuring top notes of musky and base notes of luxury.,W,fresh,50
Classic Rose,classic-rose,Fragrance,Roja,361,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Classic Rose. A premium fragrance by Roja featuring top notes of oriental and base notes of luxury.,W,floral,150
Golden  Musk,golden--musk,Fragrance,Creed,282,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Golden  Musk. A premium fragrance by Creed featuring top notes of citrus and base notes of luxury.,M,floral,150
Classic Leather,classic-leather,Accessories,Killian,1055,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Classic Leather. A premium fragrance by Killian featuring top notes of aquatic and base notes of luxury.,W,musky,50
Velvet Cedar,velvet-cedar,Watches,Tom Ford,1226,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Velvet Cedar. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,W,oriental,50
Midnight Cedar,midnight-cedar,Watches,Xerjoff,443,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Midnight Cedar. A premium fragrance by Xerjoff featuring top notes of oriental and base notes of luxury.,W,aquatic,50
Golden Vanilla,golden-vanilla,Fragrance,Amouage,813,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Golden Vanilla. A premium fragrance by Amouage featuring top notes of oriental and base notes of luxury.,W,fresh,100
Pure  Musk,pure--musk,Accessories,Byredo,1170,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Pure  Musk. A premium fragrance by Byredo featuring top notes of musky and base notes of luxury.,W,floral,100
Pure Sandalwood,pure-sandalwood,Watches,Tom Ford,1416,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Pure Sandalwood. A premium fragrance by Tom Ford featuring top notes of aquatic and base notes of luxury.,W,oriental,150
Classic Cedar,classic-cedar,Fragrance,Creed,993,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Classic Cedar. A premium fragrance by Creed featuring top notes of oriental and base notes of luxury.,M,woody,100
Eternal Rose,eternal-rose,Accessories,Tom Ford,343,1,https://images.pexels.com/photos/1190297/pexels-photo-1190297.jpeg,Experience the essence of Eternal Rose. A premium fragrance by Tom Ford featuring top notes of floral and base notes of luxury.,U,woody,50
Mystic Spirit,mystic-spirit,Watches,Amouage,504,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Mystic Spirit. A premium fragrance by Amouage featuring top notes of musky and base notes of luxury.,W,oriental,100
Midnight Spirit,midnight-spirit,Fragrance,Creed,1030,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Midnight Spirit. A premium fragrance by Creed featuring top notes of aquatic and base notes of luxury.,U,musky,100
Golden Cedar,golden-cedar,Bath,Byredo,1337,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Golden Cedar. A premium fragrance by Byredo featuring top notes of aquatic and base notes of luxury.,W,citrus,100
Midnight Leather,midnight-leather,Fragrance,Creed,475,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Midnight Leather. A premium fragrance by Creed featuring top notes of woody and base notes of luxury.,M,musky,50
Golden Leather,golden-leather,Fragrance,Byredo,855,1,https://images.pexels.com/photos/3059609/pexels-photo-3059609.jpeg,Experience the essence of Golden Leather. A premium fragrance by Byredo featuring top notes of oriental and base notes of luxury.,M,aquatic,100
Pure Oud,pure-oud,Accessories,The Maison,779,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Pure Oud. A premium fragrance by The Maison featuring top notes of floral and base notes of luxury.,M,floral,50
Imperial Jasmin,imperial-jasmin,Fragrance,Creed,382,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Imperial Jasmin. A premium fragrance by Creed featuring top notes of aquatic and base notes of luxury.,M,floral,50
Imperial Oud,imperial-oud,Bath,Byredo,872,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Imperial Oud. A premium fragrance by Byredo featuring top notes of woody and base notes of luxury.,M,woody,100
Pure Amber,pure-amber,Accessories,Killian,417,1,https://images.pexels.com/photos/3752109/pexels-photo-3752109.jpeg,Experience the essence of Pure Amber. A premium fragrance by Killian featuring top notes of citrus and base notes of luxury.,M,woody,150
Pure Spirit,pure-spirit,Watches,The Maison,803,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Pure Spirit. A premium fragrance by The Maison featuring top notes of musky and base notes of luxury.,U,citrus,150
Noble Jasmin,noble-jasmin,Accessories,Amouage,504,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Noble Jasmin. A premium fragrance by Amouage featuring top notes of fresh and base notes of luxury.,M,floral,150
Mystic Oud,mystic-oud,Accessories,Tom Ford,921,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Mystic Oud. A premium fragrance by Tom Ford featuring top notes of woody and base notes of luxury.,W,oriental,50
Royal  Musk,royal--musk,Bath,Xerjoff,932,1,https://images.pexels.com/photos/1961795/pexels-photo-1961795.jpeg,Experience the essence of Royal  Musk. A premium fragrance by Xerjoff featuring top notes of fresh and base notes of luxury.,U,musky,200
Golden Oud,golden-oud,Bath,Creed,822,1,https://images.pexels.com/photos/5490778/pexels-photo-5490778.jpeg,Experience the essence of Golden Oud. A premium fragrance by Creed featuring top notes of floral and base notes of luxury.,M,oriental,100
Royal Cedar,royal-cedar,Bath,Roja,303,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Royal Cedar. A premium fragrance by Roja featuring top notes of oriental and base notes of luxury.,U,musky,200
Golden Jasmin,golden-jasmin,Fragrance,Killian,698,1,https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg,Experience the essence of Golden Jasmin. A premium fragrance by Killian featuring top notes of fresh and base notes of luxury.,W,oriental,200
Midnight Vanilla,midnight-vanilla,Fragrance,Tom Ford,1091,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Midnight Vanilla. A premium fragrance by Tom Ford featuring top notes of fresh and base notes of luxury.,W,floral,50
Midnight Rose,midnight-rose,Bath,Byredo,361,1,https://images.pexels.com/photos/4041392/pexels-photo-4041392.jpeg,Experience the essence of Midnight Rose. A premium fragrance by Byredo featuring top notes of aquatic and base notes of luxury.,W,floral,150
Eternal Oud,eternal-oud,Accessories,Amouage,890,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Eternal Oud. A premium fragrance by Amouage featuring top notes of woody and base notes of luxury.,U,floral,50
Imperial Leather,imperial-leather,Accessories,Roja,866,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Imperial Leather. A premium fragrance by Roja featuring top notes of musky and base notes of luxury.,U,floral,100
Pure Cedar,pure-cedar,Accessories,Byredo,288,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Pure Cedar. A premium fragrance by Byredo featuring top notes of musky and base notes of luxury.,W,citrus,150
Golden Rose,golden-rose,Watches,The Maison,952,1,https://images.pexels.com/photos/3059609/pexels-photo-3059609.jpeg,Experience the essence of Golden Rose. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,U,woody,100
Mystic Vanilla,mystic-vanilla,Bath,Killian,605,1,https://images.pexels.com/photos/1556706/pexels-photo-1556706.jpeg,Experience the essence of Mystic Vanilla. A premium fragrance by Killian featuring top notes of fresh and base notes of luxury.,U,aquatic,200
Classic Vanilla,classic-vanilla,Watches,The Maison,1353,1,https://images.pexels.com/photos/2587370/pexels-photo-2587370.jpeg,Experience the essence of Classic Vanilla. A premium fragrance by The Maison featuring top notes of aquatic and base notes of luxury.,W,fresh,100
Eternal Amber,eternal-amber,Bath,Amouage,860,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Eternal Amber. A premium fragrance by Amouage featuring top notes of musky and base notes of luxury.,M,musky,100
Noble Leather,noble-leather,Bath,Killian,723,1,https://images.pexels.com/photos/4465124/pexels-photo-4465124.jpeg,Experience the essence of Noble Leather. A premium fragrance by Killian featuring top notes of citrus and base notes of luxury.,M,aquatic,200
